행정구역,score
강원특별자치도 강릉시,38.86
강원특별자치도 고성군,28.54
강원특별자치도 동해시,42.22
강원특별자치도 삼척시,78.61
강원특별자치도 속초시,58.72
강원특별자치도 양구군,44.44
강원특별자치도 양양군,40.66
강원특별자치도 영월군,20.2
강원특별자치도 원주시,31.32
강원특별자치도 인제군,38.38
강원특별자치도 정선군,21.72
강원특별자치도 철원군,22.98
강원특별자치도 춘천시,34.11
강원특별자치도 태백시,10.6
강원특별자치도 평창군,35.1
강원특별자치도 홍천군,45.72
강원특별자치도 화천군,31.32
강원특별자치도 횡성군,70.55
경기도 가평군,43.59
경기도 고양시,52.9
경기도 과천시,57.32
경기도 광명시,48.14
경기도 광주시,23.34
경기도 구리시,46.34
경기도 군포시,47.78
경기도 김포시,54.02
경기도 남양주시,43.0
경기도 동두천시,24.46
경기도 부천시,45.42
경기도 성남시,63.96
경기도 수원시,49.34
경기도 시흥시,46.82
경기도 안산시,32.98
경기도 안성시,24.38
경기도 안양시,49.8
경기도 양주시,31.4
경기도 양평군,51.7
경기도 여주시,42.39
경기도 연천군,33.58
경기도 오산시,28.79
경기도 용인시,47.71
경기도 의왕시,57.54
경기도 의정부시,19.7
경기도 이천시,36.52
경기도 파주시,29.45
경기도 평택시,38.24
경기도 포천시,47.64
경기도 하남시,52.28
경기도 화성시,51.17
경상남도 거제시,32.89
경상남도 거창군,30.3
경상남도 김해시,39.58
경상남도 남해군,46.97
경상남도 밀양시,52.84
경상남도 사천시,44.46
경상남도 산청군,48.99
경상남도 양산시,46.52
경상남도 의령군,46.46
경상남도 진주시,38.62
경상남도 창녕군,48.23
경상남도 창원시,45.47
경상남도 통영시,35.59
경상남도 하동군,32.83
경상남도 함안군,57.95
경상남도 함양군,42.68
경상남도 합천군,42.17
경상북도 경산시,29.36
경상북도 경주시,57.8
경상북도 고령군,53.25
경상북도 구미시,37.52
경상북도 김천시,43.22
경상북도 문경시,51.64
경상북도 봉화군,25.26
경상북도 상주시,62.0
경상북도 성주군,55.52
경상북도 안동시,54.42
경상북도 영덕군,45.84
경상북도 영양군,27.28
경상북도 영주시,35.44
경상북도 영천시,42.74
경상북도 예천군,84.88
경상북도 울릉군,28.03
경상북도 울진군,38.08
경상북도 의성군,77.98
경상북도 청도군,40.93
경상북도 청송군,39.65
경상북도 칠곡군,48.54
경상북도 포항시,37.36
광주광역시 광산구,29.04
대구광역시 군위군,71.59
대구광역시 달서구,45.54
대구광역시 달성군,60.12
대구광역시 수성구,64.2
대전광역시 대덕구,28.32
대전광역시 유성구,60.62
부산광역시 금정구,17.69
부산광역시 기장군,39.8
부산광역시 남구,40.32
부산광역시 동구,35.21
부산광역시 동래구,49.97
부산광역시 부산진구,27.88
부산광역시 북구,39.9
부산광역시 사상구,19.23
부산광역시 사하구,20.44
부산광역시 서구,28.45
부산광역시 수영구,48.64
부산광역시 연제구,39.75
부산광역시 영도구,10.28
부산광역시 해운대구,42.56
서울특별시 강남구,67.28
서울특별시 강동구,48.04
서울특별시 강서구,39.76
서울특별시 관악구,18.49
서울특별시 구로구,52.37
서울특별시 노원구,39.57
서울특별시 도봉구,30.54
서울특별시 동대문구,47.29
서울특별시 동작구,41.81
서울특별시 마포구,53.22
서울특별시 서대문구,36.49
서울특별시 서초구,63.68
서울특별시 성동구,53.48
서울특별시 성북구,42.72
서울특별시 송파구,58.23
서울특별시 양천구,43.56
서울특별시 영등포구,62.08
서울특별시 용산구,59.33
서울특별시 은평구,37.48
서울특별시 종로구,79.73
서울특별시 중구,90.24
서울특별시 중랑구,23.06
세종특별자치시 세종시,56.71
울산광역시 울주군,47.76
인천광역시 강화군,40.44
인천광역시 남동구,23.43
인천광역시 옹진군,26.06
전라남도 강진군,49.74
전라남도 고흥군,47.98
전라남도 곡성군,45.7
전라남도 광양시,65.36
전라남도 구례군,38.64
전라남도 나주시,61.04
전라남도 담양군,51.23
전라남도 목포시,28.41
전라남도 무안군,24.68
전라남도 보성군,47.22
전라남도 순천시,60.53
전라남도 신안군,28.28
전라남도 여수시,48.19
전라남도 영광군,29.54
전라남도 영암군,46.21
전라남도 완도군,20.7
전라남도 장성군,37.12
전라남도 장흥군,49.5
전라남도 진도군,39.4
전라남도 함평군,33.08
전라남도 해남군,36.87
전라남도 화순군,64.9
전라북도 고창군,25.5
전라북도 군산시,20.58
전라북도 김제시,57.12
전라북도 남원시,62.86
전라북도 무주군,49.24
전라북도 부안군,55.3
전라북도 순창군,24.24
전라북도 완주군,55.84
전라북도 익산시,29.76
전라북도 임실군,35.86
전라북도 장수군,31.06
전라북도 전주시,33.74
전라북도 정읍시,70.89
전라북도 진안군,35.35
제주특별자치도 서귀포시,64.16
제주특별자치도 제주시,58.92
충청남도 계룡시,39.47
충청남도 공주시,58.98
충청남도 금산군,30.46
충청남도 논산시,60.64
충청남도 당진시,44.53
충청남도 보령시,48.54
충청남도 부여군,72.34
충청남도 서산시,75.19
충청남도 서천군,45.96
충청남도 아산시,42.85
충청남도 예산군,51.97
충청남도 천안시,37.52
충청남도 청양군,70.02
충청남도 홍성군,41.24
충청북도 괴산군,50.0
충청북도 단양군,52.97
충청북도 보은군,64.92
충청북도 영동군,75.6
충청북도 옥천군,68.7
충청북도 음성군,53.19
충청북도 제천시,36.83
충청북도 진천군,58.52
충청북도 청주시,42.28
충청북도 충주시,44.14
